station_id,name,short_name,latitude,longitude,region_id,rental_methods,capacity,eightd_has_key_dispenser,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,eightd_has_available_keys,last_reported
3874,Menahan St & Seneca Ave,4963.13,40.70461,-73.91054,71,"CREDITCARD,KEY",16,false,0,0,16,0,true,true,true,false,2021-11-09T00:00:00
3640,Journal Square,JC103,40.73367,-74.0625,70,"CREDITCARD,KEY",18,false,0,2,16,0,true,true,true,false,2021-11-09T00:00:00
3834,Irving Ave & Halsey St,4695.04,40.69467,-73.90663,71,"CREDITCARD,KEY",19,false,0,1,18,0,true,true,true,false,2021-11-09T00:00:00
3883,Harman St & Seneca Ave,5002.09,40.70577,-73.91292,71,"CREDITCARD,KEY",19,false,0,1,18,0,true,true,true,false,2021-11-09T00:00:00
3966,Wales Ave & E 147 St,7751.05,40.811314,-73.907729,71,"CREDITCARD,KEY",19,false,0,0,19,0,true,true,true,false,2021-11-08T00:00:00
4054,W 163 St & Riverside Dr,8210.01,40.839278,-73.945446,71,"CREDITCARD,KEY",19,false,0,1,18,0,true,true,true,false,2021-11-08T00:00:00
4129,Anderson Ave & W 164 St,8096.03,40.832057,-73.927421,71,"CREDITCARD,KEY",19,false,0,1,18,0,true,true,true,false,2021-11-08T00:00:00
4142,Barry St & Tiffany St,7844.05,40.816126,-73.891559,71,"CREDITCARD,KEY",19,false,0,2,17,0,true,true,true,false,2021-11-09T00:00:00
4189,Grant Ave & E 169 St,8141.01,40.83579,-73.913741,71,"CREDITCARD,KEY",19,false,0,1,18,0,true,true,true,false,2021-11-08T00:00:00
4396,62 St & 4 Ave,2923.01,40.639859,-74.019776,71,"CREDITCARD,KEY",19,false,0,2,17,0,true,true,true,false,2021-11-08T00:00:00
4457,Broadway & Ellwood St,8547.04,40.862058,-73.929719,71,"CREDITCARD,KEY",19,false,0,0,19,0,true,true,true,false,2021-11-08T00:00:00
4511,Grand Ave & W 181 St,8500.01,40.856302,-73.907302,71,"CREDITCARD,KEY",19,false,0,0,19,0,true,true,true,false,2021-11-08T00:00:00
4576,Goulden Ave & Bedford Park Blvd W,8738.01,40.87387,-73.89533,71,"CREDITCARD,KEY",19,false,0,0,19,0,true,true,true,false,2021-11-08T00:00:00
3851,Metropolitan Ave & Stewart Ave,5273.01,40.71401,-73.92793,71,"CREDITCARD,KEY",20,false,0,0,20,0,true,true,true,false,2021-11-09T00:00:00
4035,Broadway & W 153 St,8089.05,40.831327,-73.946665,71,"CREDITCARD,KEY",20,false,0,1,19,0,true,true,true,false,2021-11-08T00:00:00
4048,St. Nicholas Ave & W 157 St,8085.09,40.832314,-73.94102,71,"CREDITCARD,KEY",20,false,0,1,19,0,true,true,true,false,2021-11-08T00:00:00
4098,Shakespeare Ave & W 169 St,8198.05,40.839312,-73.922423,71,"CREDITCARD,KEY",20,false,0,1,19,0,true,true,true,false,2021-11-08T00:00:00
4104,Old Broadway & W 133 St,7881.09,40.818212,-73.955277,71,"CREDITCARD,KEY",20,false,0,1,19,0,true,true,true,false,2021-11-09T00:00:00
4191,Intervale Ave & Kelly St,8044.09,40.827301,-73.896372,71,"CREDITCARD,KEY",20,false,0,0,20,0,true,true,true,false,2021-11-08T00:00:00
4454,Audubon Ave & W 192 St,8469.01,40.85564,-73.927128,71,"CREDITCARD,KEY",20,false,0,1,19,0,false,false,false,false,2021-09-20T00:00:00
